cid,text,time,author,channel,votes,replies,photo,heart,reply,time_parsed
Ugx6fmZK_jvqpjvllbF4AaABAg.A1xdyFuQgE9A1xfNJHpKKu,​ @karimjiver3847 exacto,3 months ago,@Gateway_7,UC4pIITERhJSYynN39T_S5oA,2,,https://yt3.ggpht.com/U2ZEAgcNj7ZlqjMDUMql7TsutW_hoGZ58URH5RMmxvLOw74DzmFyex5ltfRGM_uxwvb6CYVr=s88-c-k-c0x00ffffff-no-rj,False,True,1713301709.235135
Ugx6fmZK_jvqpjvllbF4AaABAg.A1xdyFuQgE9A1xfhHc2LkF,"¿Y esa ""casualidad"" es buena o mala?",3 months ago,@user-jz8ke2on6p,UCZL7bh_8OaTaEZHrOvr3-bg,0,,https://yt3.ggpht.com/ytc/AIdro_mFwh2IrAgSRZ0bfsBI6zmAunMhdQdLYWio4gGzQHiQAgS8RJeBxykBSv3CKlCmqo2Z-A=s88-c-k-c0x00ffffff-no-rj,False,True,1713301709.236216
Ugx6fmZK_jvqpjvllbF4AaABAg.A1xdyFuQgE9A1xgEH4imiT," @user-jz8ke2on6p  dime tu, prefieres a alguien coherente con sus respuestas para ser presidente, o que empiece a tirar patadas de ahogado en vez de responder?",3 months ago (edited),@karimjiver3847,UCLM6vqvBpJ93HvEaZdT0FJA,3,,https://yt3.ggpht.com/ytc/AIdro_lKGsIj2WM4izx6sjDSa-F3-OJs0N-1Ry7_Ab24apNfYg=s88-c-k-c0x00ffffff-no-rj,False,True,1713301709.237328
Ugx6fmZK_jvqpjvllbF4AaABAg.A1xdyFuQgE9A1xhuaztSBJ, @karimjiver3847  Definitivamente alguien coherente como Maynez y Claudia,3 months ago,@user-jz8ke2on6p,UCZL7bh_8OaTaEZHrOvr3-bg,1,,https://yt3.ggpht.com/ytc/AIdro_mFwh2IrAgSRZ0bfsBI6zmAunMhdQdLYWio4gGzQHiQAgS8RJeBxykBSv3CKlCmqo2Z-A=s88-c-k-c0x00ffffff-no-rj,False,True,1713301709.23841
Ugx6fmZK_jvqpjvllbF4AaABAg.A1xdyFuQgE9A1xkVLNxXVg,Es que nadie lo conoce,3 months ago,@italiarenas6749,UCMVUeOjIiD1Xuqytk_26viw,0,,https://yt3.ggpht.com/UMfoh1zC4uOhasioR9r0c-QmCC_tMileVy0Ksyj0YZ3XceoD-aLvi3-RrolXTAcplI32qzlHDA=s88-c-k-c0x00ffffff-no-rj,False,True,1713301709.239539
Ugx6fmZK_jvqpjvllbF4AaABAg.A1xdyFuQgE9A1xlRSe3Rnq," @italiarenas6749  en eso tienes razon, pero a mi parecer es mejor candidato si lo comparamos con dos personitas que empezaron su campaña antes de ser legalmente permitidas, el bien lo dijo",3 months ago,@karimjiver3847,UCLM6vqvBpJ93HvEaZdT0FJA,2,,https://yt3.ggpht.com/ytc/AIdro_lKGsIj2WM4izx6sjDSa-F3-OJs0N-1Ry7_Ab24apNfYg=s88-c-k-c0x00ffffff-no-rj,False,True,1713301709.241059
Ugx6fmZK_jvqpjvllbF4AaABAg.A1xdyFuQgE9A1xrtiVJ_ys, @karimjiver3847  la verdad si es el la mejor opción si lo comparamos con las otras opciones,3 months ago,@italiarenas6749,UCMVUeOjIiD1Xuqytk_26viw,1,,https://yt3.ggpht.com/UMfoh1zC4uOhasioR9r0c-QmCC_tMileVy0Ksyj0YZ3XceoD-aLvi3-RrolXTAcplI32qzlHDA=s88-c-k-c0x00ffffff-no-rj,False,True,1713301709.411532
UgzPbQwE2UEfsCILmx54AaABAg,Con Xochitl México caminaría al revés lo demostró con la bandera,3 months ago,@martingonzalesmorales5042,UCGWJjtyULSX0Qw4CnBc_wyQ,5,2,https://yt3.ggpht.com/ytc/AIdro_k0PVo4Ayjzf9FlRcdjZAQYBwK430_hLvWlP9jgikQjC65W-ONDWjkk4dykteuHJ96HgQ=s88-c-k-c0x00ffffff-no-rj,False,False,1713301709.841666
UgzXbPsnlk4TjQoJARZ4AaABAg,"Despues de ver este debate,es simple mi decisión😊.... voto para MORENA❤",3 months ago,@SolashMarcial,UCj3X6iaMMSL6FwKqmyj8ZUA,5,,https://yt3.ggpht.com/ZTq5aKR0RCHNO9TjOjOwYwOFMwzW9bPD2Dzsbe2QpWFdO9SyNRVK4eCJtkDe9d2yzTmVkg_Gbw=s88-c-k-c0x00ffffff-no-rj,False,False,1713301709.842806
UgzxoTFY1wS0LKCsEkB4AaABAg,¿Me pueden decir cuáles fueron las pérdidas de la creación del INSABI?,3 months ago,@DoloresMotaHernandez,UCnIsEXBdFYAymC9Pq7LvkaA,0,,https://yt3.ggpht.com/ytc/AIdro_nkwyjNjXiTbomljA7uogixZrzODDBJARZoRWe5u8Oz1e7OolmJA7H9ZsVkbBDlarhMIg=s88-c-k-c0x00ffffff-no-rj,False,False,1713301709.843881
UgwCvP5P3RKr2hi-mkd4AaABAg,"Maynez es más crítica que propuesta; que los tres se ataquen no da resultados 😑 para el siguiente debate, Gálvez y Maynez en particular su artimaña ataque no es presentación de proyecto para el país 🤷🏼‍♀️",3 months ago,@asesorjuridico4643,UCIH--F3hoaPj0g7FprjRqBg,0,,https://yt3.ggpht.com/ytc/AIdro_nfwCRG8_krEvM43N5EGdlt9IOl7Y-us4TNImkMkQgdSl8=s88-c-k-c0x00ffffff-no-rj,False,False,1713301709.844961
UgzsKWsPzwJ-LI5GRt14AaABAg,La xochil con ataques mi menos propuestas,3 months ago,@LarisaAlejandraZarza,UCf2kApB8-I9xM96t8ROYSlg,10,1,https://yt3.ggpht.com/ytc/AIdro_lH1zJmlsA1WqGJZyMpgTbIfXRnmiC714MlofQqnMaTuRgkpG4o42a60HhOGPyJpAPAuA=s88-c-k-c0x00ffffff-no-rj,False,False,1713301709.846026
Ugz_oVQS-M1wM-YyOPB4AaABAg,Voy por morena,3 months ago,@EnriqueEn-mi7lk,UCNxO0msWR6MI-ov3JXY-PTA,10,,https://yt3.ggpht.com/ytc/AIdro_nj7PAq489rI6NHK471MkFocojz6YJXKcDqEE2K1NQlj-I_sNgBPBPSsnyomX85OyBptw=s88-c-k-c0x00ffffff-no-rj,False,False,1713301709.847429
Ugz8oTpcW6A0Dhk6ASN4AaABAg,Necesario reforma al INE y magistrados,3 months ago,@samuelsanchezgarcia451,UCIyZTE5atOkZC7wlLOTq9QQ,1,,https://yt3.ggpht.com/ytc/AIdro_k-C0GR84ic_yg_YE8uK1xLCHpsHWEWOVEynx2gJdI3CsM=s88-c-k-c0x00ffffff-no-rj,False,False,1713301709.848533
