cid,text,time,author,channel,votes,replies,photo,heart,reply,time_parsed
UgwBYciqOxxDiTA31qh4AaABAg.9PnwKMhSwoo9Pq3DcLxS1D,"Puede ser lindo o no lindo. Nadie niega la belleza de Latam. Pero lamentablemente la gente tiene otra cultura, no se puede comparar con Europa, ellos están 1000 años delante de nosotros, es lamentable, pero así es. Hay que luchar por cambiar esto, pero es mas complejo de lo que realmente creemos",3 years ago,@vidainformatica_arg,UCVxoNFwIQoLBrXO3masiN5g,7,,https://yt3.ggpht.com/ThkeN2FVyG3kucNxy3Xk1fW9D_eYQ-qe1aXJ2Vbalab7njTtg3oMcJrrUhAKAVjJYDN_N7gI2g=s88-c-k-c0x00ffffff-no-rj,False,True,1626561659.087105
UgwBYciqOxxDiTA31qh4AaABAg.9PnwKMhSwoo9Pq4toWBh7Z,"a pesar de mi mordaz expresión, realmente me refiero única y exclusivamente al lugar geográfico de mi procedencia pero. Usualmente, se usa el término tercer mundo indistintamente con el de países subdesarrollados o en vías de desarrollo. Dichas denominaciones son más acertadas para hacer referencia a las naciones con los menores niveles de bienestar, asociadas principalmente a África, Asia y América Latina. y lo de ""lindo"" a lo hacen referencia realmente es cuestión de gustos ( mi pais es bastante hermoso pienso).",3 years ago,@buskavideos619,UCMxsvgR4uWUrBRNsnJjxvrg,1,,https://yt3.ggpht.com/yrgabyqLUD1CvZ06rWPyVl_DjifHeL8k6o_aC_aG88dfuV0Lmy2PBzRjkV3rL3cPCVErc6ZtNQY=s88-c-k-c0x00ffffff-no-rj,False,True,1626561659.088291
UgwBYciqOxxDiTA31qh4AaABAg.9PnwKMhSwoo9PqP4AIB1Ib, @vidainformatica_arg  Chico listo,3 years ago,@dinoeevee274,UCj6vAqayQUc7DAC9PS08zkQ,0,,https://yt3.ggpht.com/ytc/AIdro_k19yJxMnog02-4WssOQzwcMXOEaYfIZ_88-0X7UY2H5FM=s88-c-k-c0x00ffffff-no-rj,False,True,1626561659.089156
UgwBYciqOxxDiTA31qh4AaABAg.9PnwKMhSwoo9PqP8Br0SiK,@Alejandro Corleone Primer mundo,3 years ago (edited),@dinoeevee274,UCj6vAqayQUc7DAC9PS08zkQ,0,,https://yt3.ggpht.com/ytc/AIdro_k19yJxMnog02-4WssOQzwcMXOEaYfIZ_88-0X7UY2H5FM=s88-c-k-c0x00ffffff-no-rj,False,True,1626561659.090029
UgwBYciqOxxDiTA31qh4AaABAg.9PnwKMhSwoo9PrYziy-p7l,"@Alejandro Corleone Pues el Primer Mundo, ni más ni menos. No vamos a discutir obviedades a estas alturas, ¿no? Incluso cuando España ha estado en sus peores crisis, la calidad de vida ha sido siempre ampliamente superior a la de Latinoamérica.",3 years ago (edited),@unoquepasayvelaluz,UCtuaxeU-H_x5XRVRnBp5APg,1,,https://yt3.ggpht.com/ytc/AIdro_mh-0muQrSZENTv9qHOcjGJzdY3Y0PkMa-HDmsAb8A-6Q=s88-c-k-c0x00ffffff-no-rj,False,True,1626561659.090875
UgwBYciqOxxDiTA31qh4AaABAg.9PnwKMhSwoo9PrZ3tz0BAV," @francoaltamirano3905  Cualquier país de Latinoamérica, no hace falta centrarse en uno.",3 years ago,@unoquepasayvelaluz,UCtuaxeU-H_x5XRVRnBp5APg,2,,https://yt3.ggpht.com/ytc/AIdro_mh-0muQrSZENTv9qHOcjGJzdY3Y0PkMa-HDmsAb8A-6Q=s88-c-k-c0x00ffffff-no-rj,False,True,1626561659.091722
UgwBYciqOxxDiTA31qh4AaABAg.9PnwKMhSwoo9SEz5e8p6rQ,"Mateo 24:39  y no entendieron hasta que vino el diluvio y se los llevó a todos, así será también la venida del Hijo del Hombre.

ENTRA AL ARCA QUE ESTÁS A TIEMPO: AÚN HAY LUGAR. MARANATA!!! 🎺🎺🎺 MATEO 4:17 / JUAN 8:58

 MARANATA!!! 🎺🎺🎺 MATEO 4:17 / JUAN 8:58 ¿QUÉ SIGNFICA MARANATA?",2 years ago,@nacidadenuevo,UCDr46ATxItIboXkgyjkcBzg,0,,https://yt3.ggpht.com/garlu20LU7IeWrih2XA0c6BgBCxAaWd76c1YpWgs_zLIjAH2Je6CWjIDN3wHPvfkTX9VgDFVV9g=s88-c-k-c0x00ffffff-no-rj,False,True,1658097659.092572
UgzanyvLmt15C0M2KWd4AaABAg.9Q1K7WlLaLd9QRS_6ky54D,😂😆,2 years ago,@ARTIKEL3109,UChetsickzpQCiqzl73UYrxw,0,,https://yt3.ggpht.com/oVxIeYZQVjpHO1NuFIpZIWGjRiiVunbKOyy-VFn49y_i8TLbt-PUBQCvEn3fH6zDs4Ke6G3ntw=s88-c-k-c0x00ffffff-no-rj,False,True,1658097659.274563
UgzanyvLmt15C0M2KWd4AaABAg.9Q1K7WlLaLd9QRkGYIfJxL,F,2 years ago,@nchtblut,UCVaCi6LO8jIbSly1Do5MiRw,0,,https://yt3.ggpht.com/ytc/AIdro_k-44hZsueZz5q6U4qpebDwMn7_SBPuRCaquc9j2Oc8A3c=s88-c-k-c0x00ffffff-no-rj,False,True,1658097659.275491
UgzanyvLmt15C0M2KWd4AaABAg.9Q1K7WlLaLd9RrI0k2Zd3U,Ahora esas dos son las empresas que están siendo investigadas Xd,2 years ago,@YIR.,UCuAqCEbZnzkJEIZ3ZTS6Slw,1,,https://yt3.ggpht.com/ytc/AIdro_nMD_Ta83ZxlShtR6IeEeR0qJ2at_ry9sFP1EdBpnVh4Ik=s88-c-k-c0x00ffffff-no-rj,False,True,1658097659.276359
